Comment,Designator,Footprint,JLCPCB Part #
49.9R 1% 0805,"R15,R33,R51,R69,R87,R105,R123,R141,R159,R177,R195,R213",0805,C17720
0.22uF 100V X7R 0805,"C2,C13,C24,C35,C46,C57,C68,C79,C90,C101,C112,C123",0805,C2167405
0R jumper 0805,"R18,R36,R54,R72,R90,R108,R126,R144,R162,R180,R198,R216",0805,C17477
100nF 100V X7R 0805,"C1,C12,C23,C34,C45,C56,C67,C78,C89,C100,C111,C122",0805,C28233
10k 1% 0805,"R1,R3,R19,R21,R37,R39,R55,R57,R73,R75,R91,R93,R109,R111,R127,R129,R145,R147,R163,R165,R181,R183,R199,R201",0805,C17414
10uF 25V X5R 0805,"C4,C5,C6,C7,C8,C9,C15,C16,C17,C18,C19,C20,C26,C27,C28,C29,C30,C31,C37,C38,C39,C40,C41,C42,C48,C49,C50,C51,C52,C53,C59,C60,C61,C62,C63,C64,C70,C71,C72,C73,C74,C75,C81,C82,C83,C84,C85,C86,C92,C93,C94,C95,C96,C97,C103,C104,C105,C106,C107,C108,C114,C115,C116,C117,C118,C119,C125,C126,C127,C128,C129,C130",0805,C15850
1pF 50V C0G 0805,"C3,C14,C25,C36,C47,C58,C69,C80,C91,C102,C113,C124",0805,C513668
4.7R 0805,"R6,R7,R8,R9,R10,R11,R24,R25,R26,R27,R28,R29,R42,R43,R44,R45,R46,R47,R60,R61,R62,R63,R64,R65,R78,R79,R80,R81,R82,R83,R96,R97,R98,R99,R100,R101,R114,R115,R116,R117,R118,R119,R132,R133,R134,R135,R136,R137,R150,R151,R152,R153,R154,R155,R168,R169,R170,R171,R172,R173,R186,R187,R188,R189,R190,R191,R204,R205,R206,R207,R208,R209",0805,C17675
47R 0805,"R5,R23,R41,R59,R77,R95,R113,R131,R149,R167,R185,R203",0805,C17714
470uF 35V SMD 10x10.5,"C133,C134",SMD-10x10.5,C494847
PTC 1.1A 24V 1812,"F1,F2",1812,C207066
Schottky 40V 3A SMA,"D1,D2",SMA,C8678
